solver,sweep,param_scaled_by,toe_position,mixing_zone_width,total_salt_mass,ss_time
fenics,diffusion,0.2,0.8125,0.35,4.97,0.217
fenics,diffusion,0.5,1.025,0.475,4.39,0.184
fenics,diffusion,1,1.175,0.575,3.96,0.163
fenics,diffusion,2,1.35,0.7,3.58,0.151
fenics,diffusion,5,1.525,0.875,3.32,0.159
fenics,recharge,0.2,0.225,1.125,11.34,0.367
fenics,recharge,0.5,0.725,1.075,7.5,0.308
fenics,recharge,1,1.175,0.575,3.96,0.163
fenics,recharge,2,1.6,0.325,1.47,0.079
fenics,recharge,5,1.95,0.125,0.09,0.021
fenics,porosity,0.15,0.975,0.45,1.92,0.092
fenics,porosity,0.25,1.1,0.55,2.98,0.129
fenics,porosity,0.35,1.175,0.575,3.96,0.163
fenics,porosity,0.45,1.25,0.625,4.9,0.194
fenics,porosity,0.55,1.3,0.65,5.81,0.224
fenics,conductivity,0.2,2,0.15,0.1,0.101
fenics,conductivity,0.5,1.675,0.4,1.35,0.132
fenics,conductivity,1,1.175,0.575,3.96,0.163
fenics,conductivity,2,0.425,0.95,8.41,0.19
fenics,conductivity,5,0.025,0.125,13.25,0.0692
waiwera,recharge,0.2,0.0125,0.0162,15.8123,0.6553
waiwera,recharge,0.5,0.0125,0.0202,11.0466,0.5651
waiwera,recharge,1,0.5045,0.0389,5.9592,0.477
waiwera,recharge,2,1.3173,0.0394,2.1955,0.1924
waiwera,recharge,5,1.8572,0.0392,0.1774,0.0621
waiwera,porosity,0.15,0.5045,0.0389,2.5539,0.2926
waiwera,porosity,0.25,0.5045,0.0389,4.2565,0.4529
waiwera,porosity,0.35,0.5045,0.0389,5.9592,0.477
waiwera,porosity,0.45,0.5045,0.0389,7.6616,0.5832
waiwera,porosity,0.55,0.5046,0.0391,9.3615,0.6854
waiwera,conductivity,0.2,1.8572,0.0392,0.1774,0.2345
waiwera,conductivity,0.5,1.3173,0.0394,2.1955,0.3367
waiwera,conductivity,1,0.5045,0.0389,5.9592,0.477
waiwera,conductivity,2,0.0125,0.0202,11.0466,0.3226
waiwera,conductivity,5,0.0125,0.0162,15.8158,0.2024
waiwera,diffusion,0.2,0.5045,0.0389,5.9592,0.477
waiwera,diffusion,0.5,0.5045,0.0389,5.9592,0.477
waiwera,diffusion,1,0.5045,0.0389,5.9592,0.477
waiwera,diffusion,2,0.5045,0.0389,5.9592,0.477
waiwera,diffusion,5,0.5045,0.0389,5.9592,0.477
