solver,sweep,param_scaled_by,z_50,total_salt_mass,ss_time_days,pct_between_10_90,mixing_depth_range,mixing volume
fenics,baseline,1,33,108844.7248,2191.986125,90.58,33,22645
fenics,diffusion,0.2,26,108028.7601,2231.334031,88.23,26,22057.5
fenics,diffusion,0.5,28,109461.5464,2195.033779,89.26,28,22315
fenics,diffusion,1,33,108844.7248,2191.986125,90.58,33,22645
fenics,diffusion,2,50,105494.2362,2293.058549,92.53,50,23132.5
fenics,diffusion,5,50,94219.0646,2754.488005,94.77,50,23692.5
fenics,k_lower,0.2,50,44319.3976,5360.397529,48.6,0,12150
fenics,k_lower,0.5,50,81646.7111,3200.077151,93.88,50,23470
fenics,k_lower,1,33,108844.7248,2191.986125,90.58,33,22645
fenics,k_lower,2,11,130893.8602,1539.929759,86.45,11,21612.5
fenics,k_lower,5,0,152205.979,980.7566203,78.95,0,19737.5
fenics,k_upper,0.2,43,104735.2237,2114.071387,91.29,43,22822.5
fenics,k_upper,0.4,39,105784.6572,2137.454656,91.1,39,22775
fenics,k_upper,1,33,108844.7248,2191.986125,90.58,33,22645
fenics,k_upper,2,27,113747.0643,2251.407238,89.71,27,22427.5
fenics,k_upper,4,18,123268.9593,2158.327939,87.92,18,21980
fenics,phi_lower,0.1,32,64908.6748,1812.467904,89.61,32,22402.5
fenics,phi_lower,0.15,33,86854.443,1999.787291,90.06,33,22515
fenics,phi_lower,1,33,108844.7248,2191.986125,90.58,33,22645
fenics,phi_lower,0.25,32,130960.0548,2384.148013,91.06,32,22765
fenics,phi_lower,0.3,31,153493.1532,2555.522746,91.46,31,22865
fenics,phi_upper,0.2,33,99868.2693,1978.156848,90.57,33,22642.5
fenics,phi_upper,0.25,33,104275.6821,2090.61445,90.6,33,22650
fenics,phi_upper,1,33,108844.7248,2191.986125,90.58,33,22645
fenics,phi_upper,0.35,33,113444.574,2295.069454,90.6,33,22650
fenics,phi_upper,0.4,33,118113.8876,2396.838769,90.61,33,22652.5
fenics,recharge,0.2,0,149487.7241,9131.25,84.36,0,21090
fenics,recharge,0.5,0,143525.8927,2096.121222,86.59,0,21647.5
fenics,recharge,1,33,108844.7248,2191.986125,90.58,33,22645
fenics,recharge,2,50,76520.7703,1872.72963,92.89,48,23222.5
fenics,recharge,5,50,36328.721,1449.314912,37.41,0,9352.5
fenics,thurber,0.75,22,116099.1455,1865.339586,88.15,22,22037.5
fenics,thurber,1,33,108844.7248,2191.986125,90.58,33,22645
fenics,thurber,1.25,50,100476.7924,2582.934882,92.7,50,23175
fenics,thurber,1.5,50,91168.1783,3038.341168,94.53,50,23632.5
fenics,thurber,1.75,50,80655.9117,3602.013386,95.94,50,23985
waiwera,baseline,1,22.066,106790.5828,2471.8939,5.7,2.5,1425
waiwera,k_lower,0.2,33.0506,78427.7072,4279.697,7.56,2.5,1890
waiwera,k_lower,0.5,25.9362,96555.5556,2471.8939,7.18,57.5,1795
waiwera,k_lower,1,22.066,106790.5828,2471.8939,5.7,2.5,1425
waiwera,k_lower,2,19.1828,114435.6494,1623.3333,5.14,2.5,1285
waiwera,k_lower,5,16.7822,121801.3396,1549.5455,4.7,2.5,1175
waiwera,k_upper,0.2,22.7771,103642.5337,2545.6818,5.56,2.5,1390
waiwera,k_upper,0.4,22.5405,104438.9538,2582.5758,5.56,27.5,1390
waiwera,k_upper,1,22.066,106790.5828,2471.8939,5.7,2.5,1425
waiwera,k_upper,2,21.1761,110676.5527,1918.4848,5.8,2.5,1450
waiwera,k_upper,4,19.5493,118234.8084,1918.4848,6.24,32.5,1560
waiwera,recharge,0.2,15.8546,128184.6003,8301.1364,5.94,7.5,1485
waiwera,recharge,0.5,18.8871,116936.659,3320.4545,5.56,2.5,1390
waiwera,recharge,1,22.066,106790.5828,2471.8939,5.7,2.5,1425
waiwera,recharge,2,26.7357,93439.938,1992.2727,6.18,2.5,1545
waiwera,recharge,5,35.9794,67666.889,1623.3333,6.64,2.5,1660
waiwera,thurber,0.75,19.2237,115961.0552,1697.1212,5.12,22.5,1280
waiwera,thurber,1,22.066,106790.5828,2471.8939,5.7,2.5,1425
waiwera,thurber,1.25,24.8746,98004.4152,2803.9394,6.5,2.5,1625
waiwera,thurber,1.5,27.4089,89719.3741,3025.303,7.26,2.5,1815
waiwera,thurber,1.75,30.0926,82039.6867,3283.5606,8.04,32.5,2010
